store_name,city_name,full_address,Coordinates(Longtude/Latitude),phone_no,store_timing
 Vishal Mega Mart ,Central Delhi," Shop No 10209, 10210, Padam Singh Road, Near Pizza Hut, Karol Bagh, Central Delhi, Delhi 110005","28.648012,77.190996",0721 7887 958 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Delhi," Khirki Extension, Near Sant Nirankari Public School, Malviya Nagar, South Delhi, Delhi 110017","28.5346856,77.2185205",0995 3586 868 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," Main Market Rajouri Garden, Block H, H2, Rajouri Garden, West Delhi, Delhi 110027","28.6424381,77.1231081",0846 7004 041 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North East Delhi," Bholanath Nagar Main Road, Bholanath Nagar, Near Ramleela Maidan, Shahadra, North East Delhi, Delhi 110032","28.6666937,77.286952",0728 9901 351 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Delhi," MCD No 1679, E/1,d/1,2/1679, Khasra No 19 Galli 19, Govindpuri Extension, Govindpuri, South Delhi, Delhi 110019","28.5341443,77.2598518",0721 7887 898 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Delhi," Main Road, Khichripur Village, Opposite Syndicate Bank, Kalyan Puri, East Delhi, Delhi 110091","28.6200336,77.3141057",0721 7888 084 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South West Delhi," Red Lights Crossings, Mahipalpur, South West Delhi, Delhi 110037","28.5464968,77.1248465",0721 7888 392 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North East Delhi," Shop No C-426, 100 Feet Road, Chhajju Colony, Durgapuri Chowk, Shahdara, North East Delhi, Delhi 110032","28.6892564,77.2873552",0721 7888 295 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South West Delhi," Palam Sagarpur Road, Block F, Sadh Nagar 2, Sagarpur Delhi, Near Canara Bank, Manglapuri, South West Delhi, Delhi 110045","28.5930974,77.0948611",0931 1713 421 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," Shop No 1/1 Ground Floor, Block 1, Mall Road, Tilak Nagar, West Delhi, Delhi 110018","28.636198,77.0940125",0721 7888 393 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Delhi," Khasra No 436, 437, Deoli Roadm Khanpur, Khanpur, South Delhi, Delhi 110062","28.5124855,77.2325939",0721 7888 298 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South West Delhi," KD Plaza, Ignou Road, Neb Sarai, Neb Sarai, South West Delhi, Delhi 110068","28.510246,77.201534",0828 7902 906 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North West Delhi," Shop No FD-7, Near Pitampura Metro Station, Pitampura, North West Delhi, Delhi 110034","28.7029413,77.1331552",0721 7888 317 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South West Delhi," Khasra No 75 Mahavir Enclave Part-1 D-2 Block, Tehsil, Nasirpur Road, Dwarka, Near HDFC Bank, Mahavir Enclave, South West Delhi, Delhi 110045","28.5988792,77.0817318",0721 7887 902 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ghaziabad," Ground Floor, Ansal Plaza, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201010","28.644719,77.3328012",0721 7888 100 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South West Delhi," 100 Feet Road, Near Nathu Sweets, Chattarpur, South West Delhi, Delhi 110074","28.5009246,77.1857872",0817 8807 035 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," 60 Feet Bindapur Road, Mahavir Enclave Part 3, Near Power House, Mahavir Enclave, West Delhi, Delhi 110059","28.60444,77.06863",0888 2646 888 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,South West Delhi," Ramphal Chowk, Sectore 7, Dwarka, Palam, South West Delhi, Delhi 110075","28.5848575,77.0716569",0721 7888 294 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," Shop No C-24, Shiksha Sadan, Vikash Puri, West Delhi, Delhi 110018","28.6348941,77.0691294",0721 7888 063 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North West Delhi," Karawal Nagar Main Road, Near Shiv Vihar Tiraha, Karawal Nagar, North West Delhi, Delhi 110081","28.7246615,77.2761025",0870 0277 434 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ghaziabad," Plot No 367, 72A Road, Khora Road, Deepak Vihar, Ghaziabad, Uttar Pradesh 200301","28.6107789,77.3542369",0721 7887 894 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Delhi," Mehrauli-Badarpur Road, Near Lal Kaun Bus Stand, Pul Pahladpur, South Delhi, Delhi 110044","28.5023145,77.2840019",0888 2462 783 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," 50 Feet Road, Nihal Vihar, Adjacent Rajindra PubLIC School, Nangloi, West Delhi, Delhi 110041","28.6687973,77.0747393",0931 1000 050 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North Delhi," 100 Feet Road, Main Sant Nagar, Opposite Bhagat Colony Gate, Burari, North Delhi, Delhi 110084","28.7439774,77.197884",0721 7887 901 ,07:00 AM to 07:00 PM
 Vishal Mega Mart ,North West Delhi," Khasra No 350-361 to 361 Min, Mangol Pur, North West Delhi, Delhi 110083","28.6925633,77.0890028",0721 7887 900 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," Shop No G-1/156, Najafgarh Road, Opposite Metro Pillar No 677, Uttam Nagar, West Delhi, Delhi 110059","28.6225623,77.0584314",0721 7888 387 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," Main Rohtak, Opposite to BSES Office, Nangloi, West Delhi, Delhi 110041","28.681941,77.0704433",0721 7888 318 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ghaziabad," Shakti Khand 2, Adjacent to Cambridge School Gate No 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014","28.6466952,77.3638127",0821 8442 899 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South West Delhi," CH Nanda Singh Marg, Amberhai Village, Dwarka Sector 19, Near Vardhman Mall, Dwarka, South West Delhi, Delhi 110075","28.5772616,77.0500768",0782 7994 895 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ghaziabad," Floor No 27, Sector-5, Sahibabad Rajendra Nagara, Sahibabad Industrial Area, Ghaziabad, Uttar Pradesh 201005","28.6779829,77.3572341",0721 7887 980 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North Delhi," Garg Trade Centre, Sector - 11, Rohini, North Delhi, Delhi 110085","28.734484,77.11393",0721 7888 090 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Delhi," Allahabad Bank, Jaitpur Road, Near LUV Kush Chowk, Badarpur, South Delhi, Delhi 110044","28.5048186,77.3211839",0721 7887 904 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Gautam Buddha Nagar," Sec 65-66 Dividing Road, Mamura, Sec- 66 Noida, Near Power Station, Noida, Gautam Buddha Nagar, Uttar Pradesh 201301","28.6094196,77.3777173",0931 5466 990 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Gurugram," Plot No 420, Old Delhi-Gurgaon Road, Dundahera Village, Sector 20, Gurugram, Haryana 122016","28.5132204,77.0759632",0721 7888 047 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North West Delhi," 40 Feet Road, Near RC Plaza, Kirari, North West Delhi, Delhi 110086","28.6959343,77.0583041",0817 8024 069 ,09:00 AM to 09:00 PM
 Vishal Mega Mart ,Gautam Buddha Nagar," Sector 49 Barola Village, Link Road, Near Sector 78 Metro Statio, Noida, Gautam Buddha Nagar, Uttar Pradesh 201303","28.5557219,77.3775034",0931 5913 438 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Delhi," Najafgarh Road, Opposite Metro Pillar 803, Kakrola More, West Delhi, Delhi 110059","28.6194177,77.0264627",0999 9318 647 ,10:00 AM to 09:00 PM
